,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,16/12/2025,29362,566,28748,48
1,valm,16/12/2025,70077,1771,68267,39
2,Money Solutions,16/12/2025,2314,59,2240,15
3,Essence,16/12/2025,32956,1092,31771,93
4,Corplar,16/12/2025,18575,487,17961,127
5,Datateck,16/12/2025,20133,625,19286,222
6,RDF,16/12/2025,156846,3786,152919,141
7,afsilva,16/12/2025,3102,119,2952,31
8,informacred,16/12/2025,9322,333,8931,58
9,connection,16/12/2025,39774,1284,38436,54
10,elloconsultoria,16/12/2025,0,0,0,0
11,Quality,16/12/2025,113565,1897,111642,26
12,Lunart 3,16/12/2025,3118,70,3032,16
