,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,09/12/2025,30432,600,29794,38
1,valm,09/12/2025,52063,1573,50432,58
2,Money Solutions,09/12/2025,0,0,0,0
3,Essence,09/12/2025,37929,1042,36864,23
4,Corplar,09/12/2025,22496,606,21769,121
5,Datateck,09/12/2025,24660,545,23972,143
6,RDF,09/12/2025,140215,2958,137113,144
7,afsilva,09/12/2025,1558,52,1487,19
8,informacred,09/12/2025,33221,1303,31738,180
9,connection,09/12/2025,36476,1100,35293,83
10,elloconsultoria,09/12/2025,0,0,0,0
11,Quality,09/12/2025,125648,1769,123860,19
12,Lunart 3,09/12/2025,6843,161,6657,25
