,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,08/12/2025,44147,740,43393,14
1,valm,08/12/2025,49290,1587,47668,35
2,Money Solutions,08/12/2025,0,0,0,0
3,Essence,08/12/2025,33868,1221,32608,39
4,Corplar,08/12/2025,21776,607,21030,139
5,Datateck,08/12/2025,17603,398,17126,79
6,RDF,08/12/2025,167073,3563,163353,157
7,afsilva,08/12/2025,6691,269,6354,68
8,informacred,08/12/2025,8281,291,7899,91
9,connection,08/12/2025,32489,970,31454,65
10,elloconsultoria,08/12/2025,0,0,0,0
11,Quality,08/12/2025,91352,1492,89803,57
12,Lunart 3,08/12/2025,7563,171,7369,23
