,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,03/12/2025,25299,464,24791,44
1,valm,03/12/2025,57130,1644,55460,26
2,Money Solutions,03/12/2025,817,17,793,7
3,Essence,03/12/2025,40742,1081,39615,46
4,Corplar,03/12/2025,28183,787,27296,100
5,Datateck,03/12/2025,26329,579,25675,75
6,RDF,03/12/2025,170210,4088,165983,139
7,afsilva,03/12/2025,9659,426,9128,105
8,informacred,03/12/2025,26052,913,24946,193
9,connection,03/12/2025,29110,879,28119,112
10,elloconsultoria,03/12/2025,10101,319,9668,114
11,Quality,03/12/2025,151728,2326,149371,31
12,Lunart 3,03/12/2025,716,16,697,3
