,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,11/12/2025,33938,553,33350,35
1,valm,11/12/2025,53081,1756,51260,65
2,Money Solutions,11/12/2025,1498,37,1454,7
3,Essence,11/12/2025,28717,780,27882,55
4,Corplar,11/12/2025,18617,478,17963,176
5,Datateck,11/12/2025,35400,686,34630,84
6,RDF,11/12/2025,175640,3675,171877,88
7,afsilva,11/12/2025,3608,142,3425,41
8,informacred,11/12/2025,14161,489,13580,92
9,connection,11/12/2025,42413,1287,41014,112
10,elloconsultoria,11/12/2025,0,0,0,0
11,Quality,11/12/2025,107999,1653,106312,34
12,Lunart 3,11/12/2025,4387,111,4249,27
