,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,04/12/2025,25454,467,24940,47
1,valm,04/12/2025,47053,1952,45040,61
2,Money Solutions,04/12/2025,2348,57,2278,13
3,Essence,04/12/2025,38293,992,37259,42
4,Corplar,04/12/2025,23101,627,22288,186
5,Datateck,04/12/2025,6161,103,6028,30
6,RDF,04/12/2025,170512,3718,166635,159
7,afsilva,04/12/2025,10179,427,9641,111
8,informacred,04/12/2025,26437,909,25354,174
9,connection,04/12/2025,23738,759,22902,77
10,elloconsultoria,04/12/2025,8945,271,8584,90
11,Quality,04/12/2025,150731,1863,148835,33
12,Lunart 3,04/12/2025,0,0,0,0
