,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,17/12/2025,13843,204,13597,42
1,valm,17/12/2025,35151,1355,33726,70
2,Money Solutions,17/12/2025,0,0,0,0
3,Essence,17/12/2025,12541,398,12122,21
4,Corplar,17/12/2025,20743,732,19924,87
5,Datateck,17/12/2025,22565,489,21637,439
6,RDF,17/12/2025,0,0,0,0
7,afsilva,17/12/2025,3755,152,3566,37
8,informacred,17/12/2025,6161,215,5882,64
9,connection,17/12/2025,39251,1153,38036,62
10,elloconsultoria,17/12/2025,0,0,0,0
11,Quality,17/12/2025,1168,13,1154,1
12,Lunart 3,17/12/2025,0,0,0,0
