,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,07/12/2025,32274,597,31650,27
1,valm,07/12/2025,41763,1214,40533,16
2,Money Solutions,07/12/2025,1400,26,1365,9
3,Essence,07/12/2025,40199,1014,39145,40
4,Corplar,07/12/2025,18015,485,17422,108
5,Datateck,07/12/2025,19221,387,18795,39
6,RDF,07/12/2025,146711,2941,143703,67
7,afsilva,07/12/2025,3025,115,2874,36
8,informacred,07/12/2025,26235,863,25249,123
9,connection,07/12/2025,37507,1131,36321,55
10,elloconsultoria,07/12/2025,1530,51,1465,14
11,Quality,07/12/2025,70822,1211,69589,22
12,Lunart 3,07/12/2025,11581,249,11289,43
