,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,12/12/2025,28618,464,28104,50
1,valm,12/12/2025,1883,69,1807,7
2,Money Solutions,12/12/2025,3587,84,3467,36
3,Essence,12/12/2025,22130,662,21410,58
4,Corplar,12/12/2025,14526,409,13991,126
5,Datateck,12/12/2025,22394,681,21425,288
6,RDF,12/12/2025,126293,2818,123397,78
7,afsilva,12/12/2025,2791,101,2665,25
8,informacred,12/12/2025,9948,263,9637,48
9,connection,12/12/2025,36869,1254,35567,48
10,elloconsultoria,12/12/2025,0,0,0,0
11,Quality,12/12/2025,111828,1605,110203,20
12,Lunart 3,12/12/2025,4328,99,4205,24
