,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,15/12/2025,29176,632,28500,44
1,valm,15/12/2025,55486,1716,53713,57
2,Money Solutions,15/12/2025,0,0,0,0
3,Essence,15/12/2025,30741,1114,29590,37
4,Corplar,15/12/2025,23091,646,22305,140
5,Datateck,15/12/2025,13669,515,13042,112
6,RDF,15/12/2025,142383,3545,138715,123
7,afsilva,15/12/2025,1916,103,1792,21
8,informacred,15/12/2025,9612,399,9147,66
9,connection,15/12/2025,35335,1180,34092,63
10,elloconsultoria,15/12/2025,0,0,0,0
11,Quality,15/12/2025,105071,2169,102855,47
12,Lunart 3,15/12/2025,5594,128,5437,29
