,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,investmais,10/12/2025,36295,574,35690,31
1,valm,10/12/2025,24077,662,23382,33
2,Money Solutions,10/12/2025,1438,36,1394,8
3,Essence,10/12/2025,37286,1140,36124,22
4,Corplar,10/12/2025,23332,647,22568,117
5,Datateck,10/12/2025,22251,433,21770,48
6,RDF,10/12/2025,152495,3410,148936,149
7,afsilva,10/12/2025,5005,243,4710,52
8,informacred,10/12/2025,34627,1194,33292,141
9,connection,10/12/2025,40121,1198,38837,86
10,elloconsultoria,10/12/2025,0,0,0,0
11,Quality,10/12/2025,99106,1615,97464,27
12,Lunart 3,10/12/2025,7151,168,6941,42
